bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,is_cs
ChipSoft Nederland,chipsoft.com,geraden en bevestigd,Growth Marketeer,2026-09-15,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/growth-marketeer-at-chipsoft-nederland-4448895867,webcare medewerker,ok,,,,,,,,0,,,1043 DP,,,
CIMSOLUTIONS,cimsolutions.nl,geraden en bevestigd,Front-end Developer,2026-09-22,Utrecht Area,1,nee,https://nl.linkedin.com/jobs/view/front-end-developer-at-cimsolutions-4468540428,webcare medewerker,ok,,,,,,,,0,,,4131 NM,0347368100,,
Cleve & Zonen,cleve.nl,geraden en bevestigd,Customer Service Medewerker,2026-08-21,Rotterdam,3,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-cleve-zonen-4457524926,klantenservice medewerker,ok,,,2,,,,,0,,,3088 EB,+310104284600,,ja
Cleverbase,cleverbase.com,geraden en bevestigd,Front Desk Employee,2026-07-23,Den Haag,3,nee,https://nl.linkedin.com/jobs/view/front-desk-employee-at-cleverbase-4444435854,webcare medewerker,ok,,,,,,,,0,api[- ]documen,,,,,
Cloudpillo,cloudpillo.com,geraden en bevestigd,Klantenservice Medewerker - Duits / Engels,2026-09-14,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-duits-engels-at-cloudpillo-4446056309,klantenservice medewerker,ok,shopify,19,12,gorgias,trustpilot|trustedshops,ja,,2,,,5232 BX,,,ja
ClubCollect,clubcollect.com,geraden en bevestigd,Customer Support Representative,2025-10-26,Assen,1,nee,https://nl.linkedin.com/jobs/view/customer-support-representative-at-clubcollect-4317637159,klantenservice medewerker,ok,,,5,,,,,0,api[- ]documen,57468907,9401 PL,+31857606666,,ja
Colosseum Dental Benelux,colosseumdental.nl,geraden en bevestigd,Baliemedewerker,2026-02-24,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/baliemedewerker-at-colosseum-dental-benelux-4376438027,webcare medewerker,ok,,,,,,,,0,,,4822 NH,0162-482870,,
Commaxx Group,commaxxgroup.com,geraden en bevestigd,ONLINE MARKETEER (WEBSHOP SPECIALIST) - COMMAXX KERKRADE,2026-08-05,Kerkrade,3,nee,https://nl.linkedin.com/jobs/view/online-marketeer-webshop-specialist-commaxx-kerkrade-at-commaxx-group-4449483048,webcare medewerker,ok,shopify,,4,,,ja,,1,,,6466 NG,,,
CompuGroup Medical SE & Co. KGaA,cgm.com,geraden en bevestigd,L1 Support Professional,2026-09-02,Echt,1,nee,https://nl.linkedin.com/jobs/view/l1-support-professional-at-compugroup-medical-se-co-kgaa-4415662858,webcare medewerker,ok,,,21,,,,,1,,,,088-3876433,,ja
Concentrix,concentrix.com,geraden en bevestigd,Klantenservicemedewerker BMW Customer Service - Rijswijk,2026-09-07,Rijswijk,2,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-bmw-customer-service-rijswijk-at-concentrix-4462215965,klantenservice medewerker,ok,,,16,,,,,0,veiling,,,,,ja
CowManager,cowmanager.nl,geraden en bevestigd,Full stack-ontwikkelaar,2026-09-18,Harmelen,1,nee,https://nl.linkedin.com/jobs/view/full-stack-ontwikkelaar-at-cowmanager-4467829869,webcare medewerker,ok,,,,,,,,1,,59285273,3481 LT,+31(0)348443840,,
Cqure,cqure.nl,geraden en bevestigd,Junior SOC Analist,2026-09-18,"Flevoland, Nederland",1,nee,https://nl.linkedin.com/jobs/view/junior-soc-analist-at-cqure-4466689593,webcare medewerker,ok,,,,whatsapp|chatgpt-bot,,,,0,api[- ]documen,96964553,1083 HJ,+31203695428,,
Currentt,currentt.nl,geraden en bevestigd,Technical Support &amp; Customer Success Manager,2026-07-20,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/technical-support-customer-success-manager-at-currentt-4442781365,customer happiness,ok,,,,hubspot,,,,0,,,,,,ja
CWS Hygiene Nederland,cws.com,geraden en bevestigd,Medewerker customer care | 32-40 uur,2026-08-28,Den Bosch,2,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-care-32-40-uur-at-cws-hygiene-nederland-4460301689,klantenservice medewerker,ok,,,,,,,ja,1,,,,+318002300371,,ja
CycleSoftware,cyclesoftware.nl,geraden en bevestigd,Servicemedewerker,2026-07-29,Nistelrode,1,nee,https://nl.linkedin.com/jobs/view/servicemedewerker-at-cyclesoftware-4446816034,support medewerker webshop,ok,,,,,,,,0,saas,,,+31 (0)73-303 00 5,,ja
D2-PC,d2-pc.nl,geraden en bevestigd,Servicedesk medewerker,2026-07-21,Utrecht Area,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-at-d2-pc-4443524720,support medewerker webshop,ok,,,,,,,,0,,86278568,3454 PW,0302270002,,ja
DataSnipper,datasnipper.com,geraden en bevestigd,Strategic Customer Success Manager,2026-09-16,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/strategic-customer-success-manager-at-datasnipper-4467963733,customer happiness,ok,,,,chatgpt-bot,,,,0,demo aanvragen,,,,,ja
de Bijenkorf,de-bijenkorf.nl,geraden en bevestigd,Senior Medewerker Klantenservice,2026-09-21,Amsterdam,4,nee,https://nl.linkedin.com/jobs/view/senior-medewerker-klantenservice-at-de-bijenkorf-4433891476,klantenservice medewerker,ok,,,,,,,,0,,,3974BE,075 - 201 0121,,ja
De Haan IT,dehaanit.com,geraden en bevestigd,Servicedeskmedewerker / Klantenservice medewerker ICT / Application Service Engineer,2026-09-14,Almere,1,nee,https://nl.linkedin.com/jobs/view/servicedeskmedewerker-klantenservice-medewerker-ict-application-service-engineer-at-de-haan-it-4467062948,webcare medewerker,ok,,,6,,,,,0,demo aanvragen|api[- ]documen,,1321 NN,+31 (0)36 536 41 6,,ja
De Heer Medicom,deheermedicom.nl,geraden en bevestigd,Helpdeskmedewerker,2026-09-10,"Limburg, Nederland",1,nee,https://nl.linkedin.com/jobs/view/helpdeskmedewerker-at-de-heer-medicom-4464505220,webcare medewerker,ok,,,,,,,,0,,,6121 JR,0031464892550,,ja
De Klok Banden B.V.,deklokbanden.com,geraden en bevestigd,Meewerkend Voorman E-commerce,2026-09-14,Oud-Beijerland,1,nee,https://nl.linkedin.com/jobs/view/meewerkend-voorman-e-commerce-at-de-klok-banden-b-v-4467059030,e-commerce medewerker,ok,,,4,,,,,1,,,3261 MA,,,
De L'Europe,deleurope.com,geraden en bevestigd,Guest Service Agent,2026-09-09,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/guest-service-agent-at-de-l-europe-amsterdam-4455732694,customer service,ok,,,6,,,,,0,,,1012 CP,,,ja
De Wit B.V.,dewit.nl,geraden en bevestigd,Administratief commercieel medewerker,2026-09-22,Helmond,1,nee,https://nl.linkedin.com/jobs/view/administratief-commercieel-medewerker-at-de-wit-b-v-4468707838,orderverwerking medewerker,ok,,,,,,,,0,,,,,,
Decent,decent.nl,geraden en bevestigd,Marketplace Manager,2026-09-06,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/marketplace-manager-at-decent-4462673285,e-commerce medewerker,ok,,,3,,,,,0,api[- ]documen,87128381,1018DJ,+31202101533,,
DeJong Cheese - Alphenaer,dejongcheese.nl,geraden en bevestigd,Medewerker Customer Service met een focus op planning en/of inkoop (40 uur),2026-07-21,Alphen,2,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-service-met-een-focus-op-planning-en-of-inkoop-40-uur-at-dejong-cheese-alphenaer-4440454450,webcare medewerker,ok,woocommerce,,4,hubspot,,ja,ja,0,,18049181,5131 RC,,,ja
Del Monte Corporation,delmontecorporation.com,geraden en bevestigd,Back office medewerker,2026-08-11,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/back-office-medewerker-at-del-monte-corporation-4429641720,orderverwerking medewerker,ok,,,,,,,,0,,,,,,
Deloox,deloox.nl,geraden en bevestigd,Customer Care Medewerker,2026-06-04,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/customer-care-medewerker-at-deloox-4420161438,klantenservice medewerker,ok,,,13,,loox,,,3,api[- ]documen,,5657 EH,,,ja
Dentalair,dentalair.nl,geraden en bevestigd,MEDEWERKER WEBSHOP &amp; SUPPORT,2026-09-04,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-webshop-support-at-dentalair-4461970298,webcare medewerker,ok,,,,,,,,0,api[- ]documen,,3316 BG,,,ja
DentalZorg Tandheelkunde,dentalzorg.nl,geraden en bevestigd,Medewerker Online Marketing,2025-12-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/medewerker-online-marketing-at-dentalzorg-tandheelkunde-4324997576,webcare medewerker,ok,,,3,tawk|whatsapp,,,,0,saas|api[- ]documen|veiling|onze dienstver,,1506 AZ,+31882523800,,
Deployteq,deployteq.com,geraden en bevestigd,ICT-servicedeskmedewerker,2026-09-01,Ter Heijde,1,nee,https://nl.linkedin.com/jobs/view/ict-servicedeskmedewerker-at-deployteq-4449849329,webcare medewerker,ok,,,3,hubspot,,,,0,demo aanvragen,,3712 BC,+31306988080,,ja
Deponti,deponti.com,geraden en bevestigd,Customer Service Medewerker – 32-40 uur | Oss,2026-07-03,Oss,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-%E2%80%93-32-40-uur-oss-at-deponti-4433144047,klantenservice medewerker,ok,,,6,,,,ja,2,onze dienstver,,5347 KN,,,ja
DETEC Beveiliging,detec.nl,geraden en bevestigd,Klantenservice medewerker,2025-12-12,Purmerend,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-detec-beveiliging-4330525254,klantenservice medewerker,ok,,,,whatsapp,,,,0,,,7547 PH,088-0029420,,ja
DeWarmte,dewarmte.nl,geraden en bevestigd,Customer Experience Manager,2026-09-09,'s-Gravenhage,1,nee,https://nl.linkedin.com/jobs/view/customer-experience-manager-at-dewarmte-4465075329,customer happiness,ok,,,,hubspot,trustpilot,,ja,0,,77799925,2516 AG,,,ja
DHL eCommerce Nederland,dhlecommerce.nl,geraden en bevestigd,Sales Support Medewerker,2026-08-12,Utrecht,2,nee,https://nl.linkedin.com/jobs/view/sales-support-medewerker-at-dhl-ecommerce-nederland-4453344942,e-commerce medewerker,ok,,,4,,,,,2,onze dienstver,,,,,ja
Digital Newsgroup (DNG),digitalnewsgroup.com,geraden en bevestigd,Linkbuildingspecialist,2026-08-26,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/linkbuildingspecialist-at-digital-newsgroup-bv-4459177785,webcare medewerker,ok,,,,hubspot|chatgpt-bot,,ja,,0,,81262906,5026 RH,+3113-7370151,,
DNA Services B.V.,dnaservices.nl,geraden en bevestigd,ServiceDesk medewerker,2026-08-21,Hendrik-Ido-Ambacht,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-at-dna-services-b-v-4456744810,webcare medewerker,ok,,,,,,,,0,saas,,3342 BM,+31786545777,,ja
DogSuppy,dogsuppy.com,geraden en bevestigd,Growth Associate,2026-08-21,Amsterdam,1,ja,https://nl.linkedin.com/jobs/view/growth-associate-at-dogsuppy-4457343940,e-commerce medewerker,ok,shopify,55,3,gorgias,trustpilot,ja,,4,,,,,,
DroneShield,droneshield.com,geraden en bevestigd,Customer Success Manager - EMEA,2026-09-14,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-emea-at-droneshield-4465784581,customer happiness,ok,,,,,,,,0,api[- ]documen,,,,,ja
Drukwerkdeal,drukwerkdeal.nl,geraden en bevestigd,Customer Care Specialist/ Klantenservice medewerker,2026-09-05,Deventer,1,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-klantenservice-medewerker-at-drukwerkdeal-4435854127,support medewerker webshop,ok,,,,hubspot,kiyoh,,,2,,,7418 ET,088-8855222,851,ja
Dutchwebdesign,dutchwebdesign.nl,geraden en bevestigd,Projectmanager e-commerce,2026-09-22,Breda,2,nee,https://nl.linkedin.com/jobs/view/projectmanager-e-commerce-at-dutchwebdesign-4470299147,webshop medewerker,ok,,,,chatgpt-bot,feedbackcompany,,ja,1,api[- ]documen,,4811DZ,076-5323619,,
DYKA Group,dyka.nl,geraden en bevestigd,Baliemedewerker / Magazijnmedewerker | DYKA Eindhoven,2026-05-22,Eindhoven,2,nee,https://nl.linkedin.com/jobs/view/baliemedewerker-magazijnmedewerker-dyka-eindhoven-at-dyka-group-4414311547,orderverwerking medewerker,ok,magento,,,,,ja,,3,,,8331 LJ,0521 53 49 11,,
Dynamic People B.V. | Amsterdam | The Netherlands,dynamicpeople.nl,geraden en bevestigd,Customer Success Manager,2026-09-14,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-dynamic-people-4463877500,customer happiness,ok,,,2,,,,,0,,,1062 HE,+31203032470,,ja
e-Quest,equest.com,geraden en bevestigd,Servicedeskmedewerker Breedband Helmond,2026-08-04,Helmond,1,nee,https://nl.linkedin.com/jobs/view/servicedeskmedewerker-breedband-helmond-at-e-quest-4449071697,webcare medewerker,ok,,,,,,,,0,,,1462ED,,,ja
Eastman,eastman.com,geraden en bevestigd,Customer Service Representative - Chemical Intermediates - German speaker,2026-09-19,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-chemical-intermediates-german-speaker-at-eastman-4440254476,customer service,ok,,,3,,,,,0,,,,,,ja
Economy,economy.nl,geraden en bevestigd,Online marketeer in Delft,2026-06-06,Delft,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-in-delft-at-economy-4432302999,e-commerce medewerker,ok,,,8,whatsapp|chatgpt-bot,,,,0,,,2611CD,015 750 36 56,,
Eddy Grid,eddygrid.com,geraden en bevestigd,Customer Success Manager - Customer Relations,2026-09-22,"Utrecht, Nederland",2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-customer-relations-at-eddy-grid-4470261983,customer happiness,ok,,,4,hubspot,,,,0,,,3544 AD,0031850604743,,ja
EerstelijnsZorg Zoetermeer,eerstelijnszorgzoetermeer.nl,geraden en bevestigd,Servicedeskmedewerker ICT &amp; Facilitaire Dienstverlening (fulltime),2026-08-24,Zoetermeer,1,nee,https://nl.linkedin.com/jobs/view/servicedeskmedewerker-ict-facilitaire-dienstverlening-fulltime-at-eerstelijnszorg-zoetermeer-4455842587,webcare medewerker,ok,,,,,,,,0,,,,0793208686,,ja
Effectory,effectory.com,geraden en bevestigd,Customer Success Manager - Public sector,2026-09-15,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-public-sector-at-effectory-4467761203,customer happiness,ok,,,4,hubspot,,,,0,demo aanvragen|api[- ]documen,,1012 KR,+31203050100,,ja
Elektramat B.V.,elektramat.nl,geraden en bevestigd,Klantenservice Medewerker,2026-01-22,Enschede en omgeving,2,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-elektramat-b-v-4365287273,e-commerce medewerker,ok,magento,,2,intercom,feedbackcompany,ja,ja,0,,,2000 SI,,,ja
Elektrobode B.V.,elektrobode.nl,geraden en bevestigd,Medewerker klantenservice,2026-09-08,Assen,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-elektrobode-b-v-4464322167,klantenservice medewerker,ok,,,,intercom,,,ja,0,,,,0511-70 02 06,,ja
Elektrototaalmarkt,elektrototaalmarkt.nl,geraden en bevestigd,Klantenservicemedewerker,2026-09-09,Nistelrode,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-at-elektrototaalmarkt-nl-4464498258,support medewerker webshop,ok,magento,,1,intercom,,ja,,2,onze dienstver,66558212,5388RT,0412-615552,,ja
Element Logic®,elementlogic.net,geraden en bevestigd,Global Head of Customer Programs,2026-09-03,Bemmel,1,nee,https://nl.linkedin.com/jobs/view/global-head-of-customer-programs-at-element-logic%C2%AE-4463270811,customer happiness,ok,,,11,,,,ja,0,,,,,,
Elevation Group,elevation.nl,geraden en bevestigd,Administratief Medewerker Inkoop,2026-09-08,'s-Gravenhage,1,nee,https://nl.linkedin.com/jobs/view/administratief-medewerker-inkoop-at-elevation-group-4464623531,orderverwerking medewerker,ok,,,,,,,,0,,80307167,3526 KS,085 401 24 77,,
Elevation Partners,elevationpartners.nl,geraden en bevestigd,Manager klantsuccessen,2026-08-27,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/manager-klantsuccessen-at-elevation-partners-4459828399,customer happiness,ok,,,,hubspot,,,,0,,,,,,ja
ELIS,nl.elis.com,geraden en bevestigd,Customer Relations Medewerker,2026-09-17,Schiedam,1,nee,https://nl.linkedin.com/jobs/view/customer-relations-medewerker-at-elis-4465088471,klantenservice medewerker,ok,,,1,,,,ja,0,onze dienstver,,,0800 - 2373637,,ja
Endeavour,endeavour.nl,geraden en bevestigd,Medior Allround Online Marketeer,2026-07-30,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/medior-allround-online-marketeer-at-endeavour-4446747400,webcare medewerker,ok,,,,hubspot,,,,0,api[- ]documen,,2011 KA,+31(0)237271077,,
Equalture,equalture.com,geraden en bevestigd,Customer Success Manager,2026-09-15,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-equalture-4467736231,customer happiness,ok,,,3,,,,,0,,,3012AG,,,ja
Equinix,equinix.com,geraden en bevestigd,Regional Customer Success Management - Enterprise,2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/regional-customer-success-management-enterprise-at-equinix-4467605803,customer happiness,ok,,,,,,,,0,api[- ]documen,,,,,
ERIKS Netherlands,eriks.com,geraden en bevestigd,Medewerker Order Service Team,2026-09-22,Alkmaar,1,nee,https://nl.linkedin.com/jobs/view/medewerker-order-service-team-at-eriks-netherlands-4470402866,orderverwerking medewerker,ok,,,,,,,,0,,,,,,ja
Essity,essity.com,geraden en bevestigd,Customer Facing &amp; Order Management Representative,2026-08-28,Zeist,1,nee,https://nl.linkedin.com/jobs/view/customer-facing-order-management-representative-at-essity-4458075797,klantenservice medewerker,ok,,,,,,,,0,,,,,,ja
Euro Pizza Products,europizzaproducts.com,geraden en bevestigd,Business Support Medewerker,2026-09-03,Amstelveen,1,nee,https://nl.linkedin.com/jobs/view/business-support-medewerker-at-euro-pizza-products-4462780476,support medewerker webshop,ok,woocommerce,,6,hubspot,,ja,ja,0,,,1185 ZR,,,ja
Eurofins,eurofins.com,geraden en bevestigd,Customer Support Medewerker,2026-07-09,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/customer-support-medewerker-at-eurofins-4438595647,customer service,ok,,,1,,,,,0,,,,,,ja
Europe Cycle Company,europecycle.com,geraden en bevestigd,Klantenservice/Aftersales,2025-12-03,Aalsmeer,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-aftersales-at-europe-cycle-company-4341551459,klantenservice medewerker,ok,,,,,,,,0,,,,,,
Evers Kassasystemen bv,evers-kassasystemen.nl,geraden en bevestigd,Junior Support Medewerker,2026-08-27,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/junior-support-medewerker-at-evers-kassasystemen-bv-4457744746,webcare medewerker,ok,,,,,,,,1,,,5234 GL,+31736458110,,ja
Eye Security,eye.security,geraden en bevestigd,Customer Success Manager Netherlands (m/f/x),2026-09-01,Rotterdam and The Hague,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-netherlands-m-f-x-at-eye-security-4442097035,customer happiness,ok,,,3,hubspot,,,,0,,,2516 AH,,,ja
Facilicom Groep,facilicom.nl,geraden en bevestigd,Senior Digital Marketeer,2026-09-18,Schiedam,1,nee,https://nl.linkedin.com/jobs/view/senior-digital-marketeer-at-facilicom-groep-4469172168,webcare medewerker,ok,,,1,,,,,0,,,3115 JD,0882986000,,
Farm Frites,farmfrites.com,geraden en bevestigd,Customer Service Medewerker,2026-09-19,"Zuid-Holland, Nederland",1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-farm-frites-4441375026,klantenservice medewerker,onbereikbaar,,,,,,,,,,,,,,ja
Fashion Cloud,fashion.cloud,geraden en bevestigd,Product Success Manager - EDI,2026-08-10,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/product-success-manager-edi-at-fashion-cloud-4451568032,support medewerker webshop,ok,,,3,intercom|hubspot,,,ja,0,api[- ]documen,,1114 AB,+4904022862420,,
Felix NL,felix.nl,geraden en bevestigd,Customer Service Representative Belgium &amp; Luxemburg,2026-09-20,Helmond,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-belgium-luxemburg-at-felix-nl-4468447647,klantenservice medewerker,ok,,,,,,,,0,,,8271 GB,0383337574,,ja
Ferdinand Zandbergen B.V.,fzandbergen.nl,geraden en bevestigd,Sales Support Medewerker,2026-09-09,Woudenberg,1,nee,https://nl.linkedin.com/jobs/view/sales-support-medewerker-at-ferdinand-zandbergen-b-v-4465051599,orderverwerking medewerker,ok,,,5,,,,,0,,30209275,3931 NE,310332859860,,ja
Fidus,fidus.nl,geraden en bevestigd,Adviseur Particuliere Verzekeringen,2026-09-03,Huizen,1,nee,https://nl.linkedin.com/jobs/view/adviseur-particuliere-verzekeringen-at-fidus-4450704441,klantadviseur,ok,,,,,,,,0,,23034619,3274 AK,085-8600112,,
Findwhere,findwhere.com,geraden en bevestigd,Growth Marketeer,2026-09-14,Noordwijk aan Zee,1,nee,https://nl.linkedin.com/jobs/view/growth-marketeer-at-findwhere-4467089736,webcare medewerker,ok,,,,,,,,0,veiling,,,,,
Fixami,fixami.com,geraden en bevestigd,Franse Customer Service Medewerker,2026-07-28,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/franse-customer-service-medewerker-at-fixami-4445449934,support medewerker webshop,ok,,,,,,,,2,api[- ]documen,64329836,5048AN,,,ja
Flatline Agency ™️,flatlineagency.com,geraden en bevestigd,Shopify Consultant,2026-07-28,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/shopify-consultant-at-flatline-agency-%E2%84%A2%EF%B8%8F-4445412861,support medewerker webshop,ok,,,4,hubspot,,,,0,api[- ]documen,,1073XD,+31(0)20 210 1668,,
